Code,Name,Category,Price,Discount,Description,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Position
OB-KF12,OB-KF12,Kaftans,0,0,,assets/products/KAFTAN COLLECTION/OB-KF12/0bc6bda1-d5e7-4a6d-9c10-bf2bb6a72649.jpg,assets/products/KAFTAN COLLECTION/OB-KF12/35955e65-c413-40a6-a815-25c36276a312.jpg,assets/products/KAFTAN COLLECTION/OB-KF12/Photo from Oban Wears(1).jpg,assets/products/KAFTAN COLLECTION/OB-KF12/Photo from Oban Wears(2).jpg,assets/products/KAFTAN COLLECTION/OB-KF12/Photo from Oban Wears(3).jpg,assets/products/KAFTAN COLLECTION/OB-KF12/Photo from Oban Wears.jpg,,,
OB-KF13,OB-KF13,Kaftans,0,0,,assets/products/KAFTAN COLLECTION/OB-KF13/6BCAD435-5A45-4A23-954C-B8BE1E19764F.png,assets/products/KAFTAN COLLECTION/OB-KF13/F6E70A07-9BE2-4814-B34A-D57A0F755735.png,assets/products/KAFTAN COLLECTION/OB-KF13/Photo from Oban Wears(1).jpg,assets/products/KAFTAN COLLECTION/OB-KF13/Photo from Oban Wears.jpg,,,,,
OB-KF14,OB-KF14,Kaftans,0,0,,assets/products/KAFTAN COLLECTION/OB-KF14/01caa88b-08c3-45a3-a56f-800dbb6ba70f.jpg,assets/products/KAFTAN COLLECTION/OB-KF14/9289e721-f021-4169-a7ee-651e7d9a02b0.jpg,assets/products/KAFTAN COLLECTION/OB-KF14/fc748e78-29ed-4bc6-a27e-be1eedda5122.jpg,assets/products/KAFTAN COLLECTION/OB-KF14/Photo from Oban Wears(1).jpg,assets/products/KAFTAN COLLECTION/OB-KF14/Photo from Oban Wears.jpg,,,,
OB-KF15,OB-KF15,Kaftans,0,0,,assets/products/KAFTAN COLLECTION/OB-KF15/13598872-75af-4156-8239-8d9d5cea4999.jpg,assets/products/KAFTAN COLLECTION/OB-KF15/883c1f95-5fd6-4ea7-aa37-91ea45498fb6(1).jpg,assets/products/KAFTAN COLLECTION/OB-KF15/Photo from Oban Wears(1).jpg,assets/products/KAFTAN COLLECTION/OB-KF15/Photo from Oban Wears(2).jpg,assets/products/KAFTAN COLLECTION/OB-KF15/Photo from Oban Wears.jpg,,,,
OB-KF16,OB-KF16,Kaftans,0,0,,assets/products/KAFTAN COLLECTION/OB-KF16/2.png,assets/products/KAFTAN COLLECTION/OB-KF16/9bac4745-4b3f-4847-a474-e010910cdddd.jpg,assets/products/KAFTAN COLLECTION/OB-KF16/b188ff0d-aeda-40c6-bfef-3375db704f7d.jpg,assets/products/KAFTAN COLLECTION/OB-KF16/Photo from Oban Wears.jpg,,,,,
OB-KF17,OB-KF17,Kaftans,0,0,,assets/products/KAFTAN COLLECTION/OB-KF17/Oban Set 13 e - 1.PNG,assets/products/KAFTAN COLLECTION/OB-KF17/Oban Set 13 e - 3.PNG,,,,,,,
OB-KF18,OB-KF18,Kaftans,0,0,,assets/products/KAFTAN COLLECTION/OB-KF18/IMG-20240626-WA0013.jpg,assets/products/KAFTAN COLLECTION/OB-KF18/IMG-20240626-WA0017.jpg,,,,,,,
OB-KF19,OB-KF19,Kaftans,0,0,,assets/products/KAFTAN COLLECTION/OB-KF19/IMG-20240626-WA0027.jpg,assets/products/KAFTAN COLLECTION/OB-KF19/IMG-20240626-WA0029.jpg,,,,,,,
OB-KF20,OB-KF20,Kaftans,0,0,,assets/products/KAFTAN COLLECTION/OB-KF20/IMG-20241102-WA0013.jpg,assets/products/KAFTAN COLLECTION/OB-KF20/IMG-20241102-WA0015.jpg,assets/products/KAFTAN COLLECTION/OB-KF20/IMG-20241102-WA0017.jpg,,,,,,
OB-AG01,OB-AG01,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG01/23.jpg,assets/products/AGBADA COLLECTION/OB-AG01/24.jpg,,,,,,,
OB-AG02,OB-AG02,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG02/1475af46-42d8-434a-9a91-abf10d6ca14a.jpg,assets/products/AGBADA COLLECTION/OB-AG02/413330bb-2813-4d0f-aa6b-1a684794b574.jpg,,,,,,,
OB-AG03,OB-AG03,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG03/36bebf71-b1c9-40b1-a460-4ae3d2f1d1b4.jpg,assets/products/AGBADA COLLECTION/OB-AG03/b8f2f6e9-f79f-44da-b6fe-d1be4d608688.jpg,assets/products/AGBADA COLLECTION/OB-AG03/c7a342ab-1b63-4c88-ba20-09c9042ea1eb.jpg,,,,,,
OB-AG04,OB-AG04,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG04/acd55403-4172-4053-bf49-b7eb28716245.jpg,assets/products/AGBADA COLLECTION/OB-AG04/c88c32e3-66b3-4da0-8416-4737a493ba84(1).jpg,assets/products/AGBADA COLLECTION/OB-AG04/c88c32e3-66b3-4da0-8416-4737a493ba84.jpg,,,,,,
OB-AG05,OB-AG05,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG05/2e3cd6bc-c913-4001-b506-09a221878f93.jpg,assets/products/AGBADA COLLECTION/OB-AG05/75db1649-75b0-401c-a15b-996d8f5264a0.jpg,,,,,,,
OB-AG06,OB-AG06,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG06/14baeca3-4bfc-4307-a5cd-c393bfbe1c61.jpg,assets/products/AGBADA COLLECTION/OB-AG06/67f26742-6f9f-4e6c-ae1f-9159ab2dc1df.jpg,assets/products/AGBADA COLLECTION/OB-AG06/cefdbe25-f7ed-4e2b-91af-01b2171dcc9a.jpg,,,,,,
OB-AG07,OB-AG07,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG07/3a38a622-1dba-47f5-b2cf-b23ae6abb6e9.jpg,assets/products/AGBADA COLLECTION/OB-AG07/54e8c6b7-845c-459b-9fad-b5c094375a4b.jpg,,,,,,,
OB-AG08,OB-AG08,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG08/6cf35e87-9a05-48c8-ac73-12ef7be0e33b.jpg,assets/products/AGBADA COLLECTION/OB-AG08/fb08062e-b441-4035-809a-5716358a1998(1).jpg,assets/products/AGBADA COLLECTION/OB-AG08/fb08062e-b441-4035-809a-5716358a1998.jpg,,,,,,
OB-AG09,OB-AG09,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG09/IMG-20240506-WA0057(0).jpg,assets/products/AGBADA COLLECTION/OB-AG09/IMG-20240506-WA0057(1).jpg,assets/products/AGBADA COLLECTION/OB-AG09/IMG-20240506-WA0057.jpg,,,,,,
OB-AG10,OB-AG10,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG10/IMG-20240913-WA0014.jpg,assets/products/AGBADA COLLECTION/OB-AG10/IMG-20240913-WA0016(1).jpg,assets/products/AGBADA COLLECTION/OB-AG10/IMG-20240913-WA0016.jpg,,,,,,
OB-AG11,OB-AG11,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG11/IMG-20240911-WA0031.jpg,assets/products/AGBADA COLLECTION/OB-AG11/IMG-20240911-WA0033.jpg,assets/products/AGBADA COLLECTION/OB-AG11/IMG-20240911-WA0035.jpg,,,,,,
OB-AG12,OB-AG12,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG12/IMG-20240911-WA0029(1).jpg,assets/products/AGBADA COLLECTION/OB-AG12/IMG-20240911-WA0029.jpg,,,,,,,
OB-AG13,OB-AG13,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG13/IMG-20240502-WA0007.jpg,assets/products/AGBADA COLLECTION/OB-AG13/IMG-20240502-WA0011.jpg,assets/products/AGBADA COLLECTION/OB-AG13/Oban wear set 14 b-1.jpg,,,,,,
OB-AG14,OB-AG14,Agbada,0,0,,assets/products/AGBADA COLLECTION/OB-AG14/Photo from Oban Wears(1).jpg,assets/products/AGBADA COLLECTION/OB-AG14/Photo from Oban Wears(2).jpg,assets/products/AGBADA COLLECTION/OB-AG14/Photo from Oban Wears.jpg,,,,,,
